lead_LEADQUALIFYCATION,contact_Код ПВЗ,lead_Вес (грамм)*,lead_Объявленная ценность (руб),lead_будущие покупки,lead_Сумма наложенного платежа (руб),lead_ACTUAL-FORMAT,lead_responsible_user_id,lead_Тариф Доставки,lead_Линейная длина (см),lead_utm_content,lead_Дата создания сделки,contact_LTV,sale_date,lead_LTV,lead_FORMNAME,outcome_unknown,lead_loss_reason_id,lead_Дата получения денег на Р/С
,NFK2,1748.0,,не известно,,,MGR_0023,Посылка склад-склад,,702013160_5620768318_17187550265_type1_mobile_news-kurgan.ru_none_0_205620768318_Нижний Новгород,1760302800.0,,2025-11-01,,order_bak,False,,
a,TLT22,670.0,,не известно,,,MGR_0007,Посылка склад-склад,,703601528_5651770104_17314850230_type1_mobile_dzen.ru_none_0_205651770104_Тольятти,1761944400.0,8035.0,2025-11-01,,consult,False,,1763067600.0
,RND40,678.0,,не известно,,,MGR_0002,Посылка склад-склад,,,1761944400.0,8045.0,2025-11-01,,,False,,1763067600.0
a,VRN25,604.0,,не известно,,,MGR_0006,Посылка склад-склад,,704522417_5673488905_1891780975810895074_type1_mobile_dzen.ru_none_0_205673488905_Воронеж,1761944400.0,,2025-11-01,,order_bak,False,,
,DMD9,7935.0,,не известно,,,MGR_0023,Посылка склад-склад,,,,57695.0,2025-11-01,,,False,,1763326800.0
a,TYUM198,1416.0,,не известно,,,MGR_0023,Посылка склад-склад,,702239870_5623488181_17204803978_type1_mobile_news.sportbox.ru_none_0_205623488181_Тюмень,1761944400.0,15730.0,2025-11-01,,order_bak,False,,1763067600.0
,NZHV2,828.0,,не известно,,,MGR_0023,Посылка склад-склад,,,1761944400.0,11470.0,2025-11-01,,,False,,1763413200.0
a,MSK599,670.0,,не известно,,,MGR_0023,Посылка склад-склад,,703677877_5654024727_17321475360_type1_desktop_www.msk.kp.ru_none_0_205654024727_Москва,1761858000.0,7990.0,2025-11-01,,order_bak,False,,1763326800.0
,,608.0,,не известно,,,MGR_0001,Посылка склад-дверь,,,1760389200.0,9330.0,2025-11-01,,,False,,1763326800.0
a,,1270.0,,матрас,,,MGR_0002,Посылка склад-дверь,,703601528_5651770104_17314850230_type1_mobile_ru.zen.android_none_0_205651770104_Moscow,1761944400.0,48728.0,2025-11-01,,consult,False,,1763326800.0
,MSK377,1682.0,,шлем,,,MGR_0007,Посылка склад-склад,,,1761944400.0,19603.0,2025-11-01,,,False,,1763413200.0
,PLK5,96.0,,не известно,,,MGR_0002,Посылка склад-склад,,118751984_5552552244_16901019575_type1_tablet_sibkray.ru_none_0_54473839892_Подольск,1761858000.0,,2025-11-01,,,False,,
,,636.0,,не известно,,,MGR_0002,Посылка склад-дверь,,704150714_5664797003_17355537565_type1_mobile_yandex.ru_none_0_205664797003_Ялта,1762030800.0,,2025-11-02,,consult,False,,
,KAL3,2692.0,,матрас,,,MGR_0023,Посылка склад-склад,,702233419_5649210947_17307348772_type1_desktop_ya.ru_none_0_205649210947_Калтан,1762030800.0,24530.0,2025-11-02,,order,False,,1763672400.0
,CHKS11,100.0,,унив повязка,,,MGR_0003,Посылка склад-склад,,118740292_5552351779_16900153333_type1_mobile_dzen.ru_none_0_54469505618_Markovsky,1762030800.0,3780.0,2025-11-02,,order,False,,1763326800.0
,ANP34,652.0,,не известно,,,MGR_0006,Посылка склад-склад,,703677877_5654024727_17321475360_type1_mobile_m.dzen.ru_none_0_205654024727_Анапа,1762030800.0,,2025-11-02,,order,False,,
a,NSK141,574.0,,не известно,,,MGR_0002,Посылка склад-склад,,704413184_5671819820_17375610522_type1_desktop_ren.tv_none_0_205671819820_Новосибирск,1762030800.0,5655.0,2025-11-02,,consult,False,,1763413200.0
,SPB243,1298.0,,не известно,,,MGR_0023,Посылка склад-склад,,704267072_5668231662_17364548744_type1_mobile_dzen.ru_none_0_205668231662_Saint Petersburg,1762030800.0,14192.0,2025-11-02,,artraid-dem,False,,1763499600.0
,VLG132,658.0,,не известно,,,MGR_0023,Посылка склад-склад,,,,26757.0,2025-11-02,3620.0,,False,,1763326800.0
a,PPK10,676.0,,не известно,,,MGR_0023,Экономичная посылка склад-склад,,704413631_5671822287_17375626711_type1_mobile_dzen.ru_none_0_205671822287_Petropavlovsk,1762030800.0,,2025-11-02,,order_bak,False,,
,VIL2,658.0,,не известно,,,MGR_0006,Посылка склад-склад,,,1762030800.0,8343.0,2025-11-02,,,False,,1763586000.0
,MSK150,606.0,,не известно,,,MGR_0006,Посылка склад-склад,,,1762030800.0,107856.0,2025-11-02,,,False,,1763326800.0
,,162.0,,унив повязка,,,MGR_0002,Посылка склад-дверь,,704267302_5668233008_17364557602_type1_mobile_tv.yandex.ru_none_0_205668233008_Новокузнецк,1761426000.0,5570.0,2025-11-02,,artraid-dem,False,,1763326800.0
,RTK3,194.0,,не известно,,,MGR_0003,Посылка склад-склад,,,,53531.0,2025-11-02,,,False,,1763326800.0
a,,,18388.0,не известно,18388.0,,MGR_0023,Почта Посылка,43.0,704413646_5671822331_17375627116_type1_mobile_pnz.ru_none_0_205671822331_Домодедово,1762030800.0,18388.0,2025-11-02,,order_bak,False,,
,OMS31,1300.0,,не известно,,,MGR_0023,Посылка склад-склад,,702279529_5624026357_17208633173_type1_mobile_com.octopod.russianpost.client.android_none_0_205624026357_Omsk,1762030800.0,15810.0,2025-11-02,,,False,,1763499600.0
,DMO12,646.0,,не известно,,,MGR_0006,Посылка склад-склад,,115367108_5632603220_17256366382_type1_mobile_srrb.ru_none_0_205632603220_Дзержинский,1762030800.0,9091.0,2025-11-02,,,False,,1763326800.0
,BLO2,658.0,,матрас,,,MGR_0002,Посылка склад-склад,,702467952_5626407414_17362653599_type1_mobile_dzen.ru_none_0_205626407414_Белово,1762030800.0,8200.0,2025-11-02,,,False,,1763413200.0
,,,6535.0,не известно,6535.0,,MGR_0002,Почта Посылка,30.0,,1761339600.0,6535.0,2025-11-02,,,False,,
a,SPB23,670.0,,не известно,,,MGR_0023,Посылка склад-склад,,704259045_5668153248_17363940527_type1_mobile_otzovik.com_none_0_205668153248_Санкт-Петербург,1762030800.0,,2025-11-02,,consult,False,,
,KRCH4,1436.0,,не известно,,,MGR_0003,Посылка склад-склад,,704296971_5668892518_17366762169_type1_desktop_tv.yandex.ru_none_0_55849293643_Керчь,1762030800.0,13090.0,2025-11-02,,order_bak,False,,1763499600.0
a,,644.0,,не известно,,,MGR_0023,Посылка склад-дверь,,704258743_5668147521_17363919472_type1_mobile_news.ru_none_0_205668147521_Москва,1762030800.0,10440.0,2025-11-02,,order_bak,False,,1763326800.0
,SPB1211,806.0,,не известно,,,MGR_0006,Посылка склад-склад,,,1762030800.0,34151.0,2025-11-02,,,False,,
,SVT61,802.0,,не известно,,,MGR_0023,Посылка склад-дверь,,703798702_5657076039_17331460514_type1_desktop_ya.ru_none_0_205657076039_Севастополь,1762030800.0,15390.0,2025-11-02,,artraid-dem,False,,1763326800.0
,NBK11,280.0,,не известно,,,MGR_0002,Экономичная посылка склад-дверь,,,,133260.0,2025-11-02,,,False,,1763586000.0
,BLG6,310.0,,матрас,,,MGR_0002,Посылка склад-склад,,702279529_5624026357_17208633173_type1_mobile_pg12.ru_none_0_205624026357_Благовещенск,1762030800.0,,2025-11-02,,,False,,
,,,8595.0,не известно,8595.0,,MGR_0002,Почта Посылка,40.0,,1762030800.0,,2025-11-02,,,False,,
,RBN17,9670.0,,матрас,,,MGR_0023,Посылка склад-склад,,Неизвестно,1762030800.0,134720.0,2025-11-02,,,False,,1763326800.0
a,,1602.0,,не известно,,,MGR_0003,Посылка склад-дверь,,704413184_5671819820_17375610522_type1_desktop_dzen.ru_none_0_205671819820_Simferopol,1762030800.0,18505.0,2025-11-02,,consult,False,,1763326800.0
,LSK2,652.0,,не известно,,,MGR_0023,Посылка склад-склад,,703917125_5659027803_17337450076_type1_desktop_yandex.ru_none_0_205659027803_Алексин,1762030800.0,7327.0,2025-11-02,,order_bak,False,,
a,YAKT18,1434.0,,не известно,,,MGR_0023,Экономичная посылка склад-склад,,703707487_5654792020_17324108102_type1_mobile_sudoku.puzzle.free.game.brain_none_0_205654792020_Yakutsk,1762030800.0,15975.0,2025-11-02,,order_bak,False,,1765746000.0
,,,19015.0,не известно,19015.0,,MGR_0006,Посылка склад-склад,43.0,704296971_5668892519_17366762171_type1_mobile_www.yell.ru_none_0_55849293802_Шаранга,1762030800.0,58435.0,2025-11-02,,order_bak,False,,
,KRSH1,726.0,,не известно,,,MGR_0023,Посылка склад-склад,,702103466_5621792100_17194334912_type1_mobile_my-calend.ru_none_0_205621792100_Кириши,1761944400.0,,2025-11-02,,order_bak,False,,
,ELT2,1070.0,,не известно,,,MGR_0023,Посылка склад-склад,,703237620_5640426706_17284941649_type1_mobile_com.infolink.limeiptv_none_0_205640426706_Elektrostal,1762030800.0,,2025-11-02,,consult,False,,
,KRCH1,386.0,,не известно,,,MGR_0006,Посылка склад-склад,,Неизвестно,1761771600.0,6415.0,2025-11-02,,,False,,1763413200.0
,AST45,396.0,,не известно,,,MGR_0006,Посылка склад-склад,,704205614_5666922322_17360277055_type1_mobile_dzen.ru_none_0_205666922322_Astrahan,1762030800.0,10062.0,2025-11-02,,consult,False,,1763672400.0
,MSK117,1482.0,,не известно,,,MGR_0023,Посылка склад-склад,,703798702_5657076039_17331460514_type1_desktop_tv.yandex.ru_none_0_205657076039_Москва,1762030800.0,15405.0,2025-11-02,,artraid-dem,False,,
,VLG35,,13210.0,не известно,13210.0,,MGR_0003,Посылка склад-склад,40.0,704267926_5668235074_17364592750_type1_mobile_yandex.ru_none_0_55841201953_Волгодонск,1761858000.0,40208.0,2025-11-02,,order_bak,False,,
,VLZH24,312.0,,не известно,,,MGR_0001,Посылка склад-склад,,,1762030800.0,24494.0,2025-11-03,,,False,,1763413200.0
a,SPB49,4236.0,,подушка,,,MGR_0002,Посылка склад-склад,,704580992_5674340661_1892048643543365203_type1_mobile_ria.ru_none_0_205674340661_Санкт-Петербург,1762117200.0,,2025-11-03,,consult,False,,
,SHDR5,1392.0,,не известно,,,MGR_0009,Посылка склад-склад,,702829680_5631593580_17251575491_type1_mobile_tv.yandex.ru_none_0_55445950723_Шадринск,1762117200.0,15960.0,2025-11-03,,order_bak,False,,1763413200.0
,NSK136,102.0,,не известно,,,MGR_0006,Посылка склад-склад,,,1762117200.0,3231.0,2025-11-03,,,False,,1764104400.0
,,,13616.0,матрас,13616.0,,MGR_0002,Посылка склад-склад,40.0,702417509_5625726544_17220159787_type1_desktop_dzen.ru_none_0_205625726544_Москва,1762117200.0,13616.0,2025-11-03,,artraid-dem,False,,
a,ULN15,578.0,,унив повязка,,,MGR_0001,Посылка склад-склад,,704413184_5671819820_17375610522_type1_mobile_www.kinoafisha.info_none_0_205671819820_Ульяновск,1762117200.0,5440.0,2025-11-03,,consult,False,,1763413200.0
a,ZHKA4,988.0,,унив повязка,,,MGR_0005,Посылка склад-склад,,703601489_5651764136_17314845827_type1_mobile_ru.ok.android_none_0_205651764136_Zheleznogorsk,1762117200.0,14350.0,2025-11-03,,consult,False,,1763586000.0
,,656.0,,не известно,,,MGR_0007,Посылка склад-дверь,,703798483_5657074625_17331454991_type1_mobile_primamedia.ru_none_0_205657074625_Нягань,1762030800.0,8850.0,2025-11-03,,artraid-dem,False,,1763672400.0
,,678.0,,подушка,,,MGR_0009,Посылка склад-дверь,,703917125_5659027803_17337450077_type1_mobile_ru.ok.android_none_0_205659027803_Orenburg,1761166800.0,8405.0,2025-11-03,,order_bak,False,,1763413200.0
,KRV13,672.0,,не известно,,,MGR_0001,Посылка склад-склад,,114317039_5493405515_16504386272_type1_mobile_none_premium_2_53061819885_Киров,1762117200.0,168817.0,2025-11-03,,,False,,
,YARS4,60.0,,матрас,,,MGR_0001,Посылка склад-склад,,Неизвестно,1762030800.0,9356.0,2025-11-03,,,False,,1763326800.0
,YES11,1360.0,,не известно,,,MGR_0006,Посылка склад-склад,,702829935_5631600992_17251695979_type1_mobile_yandex.ru_none_0_205631600992_Лысовское сельское поселение,1762117200.0,34012.0,2025-11-03,,consult,False,,1763326800.0
,NBK10,162.0,,не известно,,,MGR_0007,Посылка склад-склад,,704582488_5674346851_17386766197_type1_mobile_dzen.ru_none_0_205674346851_Сельское поселение Верхняя Подстепновка,1762117200.0,5155.0,2025-11-03,,artraid-dem,False,,1763326800.0
,SNO2,828.0,,матрас,,,MGR_0009,Посылка склад-склад,,703690134_5654354235_17322364163_type1_mobile_ru.yandex.weatherplugin_none_0_205654354235_Sosnovoborsk,1762117200.0,11270.0,2025-11-03,,artraid-dem,False,,1763499600.0
,MIN65,784.0,,не известно,,,MGR_0002,Посылка склад-склад,,114317039_5493405515_16504386271_type1_desktop_yandex.ru_other_1_53061819885_Минусинск,1762117200.0,10669.0,2025-11-03,,,False,,
,KOZ12,1196.0,,не известно,,,MGR_0002,Посылка склад-склад,,,,36025.0,2025-11-03,,,False,,1763326800.0
,YEKB56,572.0,,не известно,,,MGR_0001,Посылка склад-склад,,,1762117200.0,70335.0,2025-11-03,,,False,,1763413200.0
a,,,8570.0,не известно,8570.0,,MGR_0007,Почта Посылка,40.0,702733976_5630174285_17243465139_type1_mobile_ru.ok.android_none_0_205630174285_Moscow,1762117200.0,8570.0,2025-11-03,,order_bak,False,,
,BRV3,1754.0,,не известно,,,MGR_0002,Посылка склад-склад,,,1762117200.0,77160.0,2025-11-03,,,False,,1763413200.0
a,ODN8,350.0,,не известно,,,MGR_0009,Посылка склад-склад,,704413628_5671822279_17375626684_type1_mobile_www.phag-rostov.ru_none_0_205671822279_Odincovo,1762117200.0,6160.0,2025-11-03,,order_bak,False,,1763499600.0
a,,1708.0,,не известно,,,MGR_0001,Посылка склад-дверь,,702733976_5630174285_17243465139_type1_mobile_almaty.tv_none_0_205630174285_Севастополь,1762117200.0,,2025-11-03,,order_bak,False,,
,,652.0,,не известно,,,MGR_0002,Посылка склад-дверь,,704582488_5674346853_17386766201_type1_mobile_m.dzen.ru_none_0_205674346853_Магнитогорск,1762117200.0,8270.0,2025-11-03,,artraid-dem,False,,1763067600.0
,IRK89,654.0,,матрас,,,MGR_0002,Посылка склад-склад,,,1762117200.0,20936.0,2025-11-03,,,False,,1763672400.0
a,,2040.0,,не известно,,,MGR_0002,Посылка склад-дверь,,704581516_5674342773_17386732412_type1_mobile_dzen.ru_none_0_205674342773_Moscow,1762117200.0,18522.0,2025-11-03,,consult,False,,1762981200.0
,UFA16,2380.0,,не известно,,,MGR_0007,Посылка склад-склад,,704030957_5661533827_17346337754_type1_mobile_yandex.ru_none_0_205661533827_Уфа,1760130000.0,21231.0,2025-11-03,,order_bak,False,,1763413200.0
,,506.0,,не известно,,,MGR_0005,Посылка склад-дверь,,,,8330.0,2025-11-03,,,False,,1763499600.0
a,,604.0,,сапоги,,,MGR_0001,Посылка склад-склад,,704522408_5673488892_1891780940377901513_type1_mobile_usolie.info_none_0_205673488892_Хоринск,1762117200.0,9380.0,2025-11-03,,order_bak,False,,1763672400.0
a,,,8535.0,матрас,8535.0,,MGR_0002,Посылка склад-склад,40.0,,1762117200.0,,2025-11-03,,order_bak,False,,
,KRS9,310.0,,не известно,,,MGR_0007,Посылка склад-склад,,704582488_5674346853_17386766201_type1_mobile_ru.yandex.weatherplugin_none_0_205674346853_Kursk,1762117200.0,10010.0,2025-11-03,,artraid-dem,False,,1763326800.0
a,,,8340.0,унив повязка,8340.0,,MGR_0002,Посылка склад-склад,40.0,704582488_5674346851_17386766197_type1_mobile_news.ru_none_0_205674346851_Ковров,1762117200.0,8340.0,2025-11-03,,error,False,,
,SVT63,,21176.0,не известно,21176.0,,MGR_0006,Посылка склад-склад,35.0,,,27376.0,2025-11-03,,,False,,
,MSK377,672.0,,не известно,,,MGR_0001,Посылка склад-склад,,702829686_5631593602_17251575972_type1_desktop_ya.ru_none_0_55445952553_Москва,1761771600.0,,2025-11-03,,,False,,
,,1402.0,,не известно,,,MGR_0001,Посылка склад-дверь,,704267307_5668233026_17364558414_type1_mobile_yandex.ru_none_0_205668233026_Краснодар,1762117200.0,14545.0,2025-11-03,,artraid-dem,False,,1763326800.0
,SLB1,1356.0,,не известно,,,MGR_0002,Посылка склад-склад,,,1762030800.0,15910.0,2025-11-03,,,False,,1763672400.0
,,650.0,,матрас,,,MGR_0002,Посылка склад-склад,,,,14166.0,2025-11-03,,,False,,1764018000.0
,,,8385.0,унив повязка,8385.0,,MGR_0002,Посылка склад-склад,40.0,704354723_5670338054_17371666503_type1_mobile_ya.ru_none_0_205670338054_Санкт-Петербург,1762030800.0,8385.0,2025-11-03,,consult,False,,
,CHBK67,1358.0,,не известно,,,MGR_0002,Посылка склад-склад,,702279529_5624026357_17208633173_type1_mobile_ria.ru_none_0_205624026357_Чебоксары,1762117200.0,15880.0,2025-11-03,,,False,,1763326800.0
a,,,14930.0,не известно,14930.0,,MGR_0001,Почта Посылка,40.0,704413631_5671822287_17375626711_type1_mobile_m.dzen.ru_none_0_205671822287_Новониколаевское сельское поселение,1762117200.0,,2025-11-03,,order_bak,False,,
,,,14272.0,не известно,14272.0,,MGR_0009,Посылка склад-склад,43.0,704581516_5674342773_17386732412_type1_mobile_m.dzen.ru_none_0_205674342773_Армавир,1762117200.0,14272.0,2025-11-03,,order,False,,
,,568.0,,не известно,,,MGR_0001,Посылка склад-дверь,,115509254_5632603232_17256366549_type1_desktop_dzen.ru_none_0_205632603232_Екатеринбург,1762117200.0,,2025-11-03,,,False,,
,MSK2543,566.0,,не известно,,,MGR_0002,Посылка склад-склад,,,1761426000.0,11330.0,2025-11-03,,,False,,1763326800.0
,,1360.0,,матрас,,,MGR_0002,Посылка склад-дверь,,,1762117200.0,14492.0,2025-11-03,,,False,,1763326800.0
,SPB132,2570.0,,не известно,,,MGR_0002,Посылка склад-склад,,,1762117200.0,20967.0,2025-11-03,,,False,,1763067600.0
,SPB288,654.0,,подушка,,,MGR_0009,Посылка склад-склад,,,1762030800.0,8050.0,2025-11-03,,,False,,1763326800.0
,,504.0,,не известно,,,MGR_0023,Почта Посылка,,,,,2025-11-03,,,False,,
,MSK290,2374.0,,не известно,,,MGR_0007,Посылка склад-склад,,703798702_5657076039_17331460514_type1_mobile_dzen.ru_none_0_205657076039_Moscow,1762117200.0,22396.0,2025-11-03,,artraid-dem,False,,
a,,,9620.0,сапоги,9620.0,,MGR_0005,Почта Посылка,30.0,704581516_5674342773_17386732412_type1_mobile_sportsdzen.ru_none_0_205674342773_Екатеринбург,1762203600.0,,2025-11-04,,consult,False,,
,UYAR6,11235.0,,капсула,,,MGR_0003,Посылка склад-склад,,,,479657.0,2025-11-04,,,False,,1764536400.0
a,POL2,1322.0,,не известно,,,MGR_0003,Посылка склад-склад,,704114290_5663760702_17352612898_type1_mobile_www.russianfood.com_none_0_205663760702_Poltavskaya,1762203600.0,0.0,2025-11-04,,consult,False,,
,,1382.0,,не известно,,,MGR_0005,Посылка склад-дверь,,,1762117200.0,16020.0,2025-11-04,,,False,,
a,SPD72,1396.0,,матрас,,,MGR_0002,Посылка склад-склад,,704581516_5674342773_17386732412_type1_mobile_m.dzen.ru_none_0_205674342773_Тюмень,1762203600.0,,2025-11-04,,order_bak,False,,
a,TOM91,1420.0,,матрас,,,MGR_0002,Посылка склад-склад,,702239869_5623488122_17204803510_type1_mobile_ru.yandex.weatherplugin_none_0_205623488122_Tomsk,1762203600.0,16157.0,2025-11-04,,order_bak,False,,1764104400.0
,TYR1,1024.0,,не известно,,,MGR_0002,Посылка склад-склад,,Неизвестно,1762203600.0,10380.0,2025-11-04,,,False,,1764536400.0
,MUZ1,2032.0,,не известно,,,MGR_0002,Экономичная посылка склад-склад,,704325737_5669702838_17369350139_type1_mobile_newsvol.ru_none_0_55854077141_Междуреченский,1762203600.0,,2025-11-04,,order_bak,False,,
a,,,22890.0,не известно,22890.0,,MGR_0009,Посылка склад-склад,43.0,704580992_5674340660_1892048643543365202_type1_mobile_www.euro-football.ru_none_0_205674340660_Углегорск,1762203600.0,22890.0,2025-11-04,,consult,False,,
,ORKH1,568.0,,не известно,,,MGR_0009,Посылка склад-склад,,,1762203600.0,5425.0,2025-11-04,,,False,,1763413200.0
,MSK1302,194.0,,не известно,,,MGR_0001,Посылка склад-склад,,700324152_5586909608_17043197846_type1_mobile_76.ru_none_0_54890567790_Махачкала,1762203600.0,3670.0,2025-11-04,,order,False,,1763413200.0
,,162.0,,унив повязка,,,MGR_0002,Посылка склад-дверь,,,1762117200.0,5766.0,2025-11-04,,,False,,1764018000.0
,SPB33,1414.0,,не известно,,,MGR_0001,Посылка склад-склад,,67fe9a8c08ba1e2eb4b4aed1_67fe9b1ed81a5d71631f34c0_67fe9b1ed81a5d71631f34c0_4_10_{campaign_type}_{device_type}_dzen.ru_{position_type}_{position}_{retargeting_id}_{region_name},1760043600.0,78299.0,2025-11-04,,order_bak,False,,1764104400.0
a,,,,не известно,,,MGR_0003,Посылка склад-склад,,704522417_5673488905_1891780975810895074_type1_mobile_oryol-news.ru_none_0_205673488905_Кашарский сельсовет,1762203600.0,,2025-11-04,,order_bak,False,,
,,798.0,,не известно,,,MGR_0001,Посылка склад-дверь,,,1762203600.0,59712.0,2025-11-04,,,False,,1763326800.0
,KSK14,190.0,,не известно,,,MGR_0001,Посылка склад-склад,,Ganova,1762203600.0,3850.0,2025-11-04,,,False,,1763586000.0
