row_id,contact_loyalty,lead_items_count,lead_total_quantity,lead_total_cost_from_composition,lead_has_health_supplement,lead_has_pillow,lead_has_mattress,lead_has_brace,lead_has_footwear,lead_has_accessory,lead_has_health_product,lead_categories_count,lead_has_linear_width,lead_linear_width,lead_discount_category,lead_discount,sale_hour,sale_dayofweek,sale_month,sale_ts,lead_source,timedelta_between_sale_and_creation,lead_created_ts,lead_created_dayofweek,lead_created_hour,lead_created_month,lead_has_shipping_cost,lead_shipping_cost,lead_has_length,lead_length,lead_price,lead_pipeline_id
10,unknown,2,3,2400,0,0,0,0,0,1,0,1,0,-1.0,unknown,-1.0,7,5,3,2025-03-01 07:48:07,unknown,1008,2025-03-01 07:31:19,5,7,3,0,-1.0,0,-1.0,5120,6892026
11,new,2,641,2400,0,0,0,0,0,1,0,1,0,-1.0,unknown,-1.0,7,5,3,2025-03-01 07:53:07,npotpz.ru,30029,2025-02-28 23:32:38,4,23,2,0,-1.0,0,-1.0,3040,6892026
12,regular,2,2,6000,0,0,0,1,0,0,0,1,0,-1.0,unknown,-1.0,8,5,3,2025-03-01 08:02:16,unknown,9908,2025-03-01 05:17:08,5,5,3,0,-1.0,0,-1.0,6330,6892026
13,new,2,301,5700,0,0,0,1,0,0,0,1,0,-1.0,unknown,-1.0,8,5,3,2025-03-01 08:04:11,unknown,1392,2025-03-01 07:40:59,5,7,3,0,-1.0,0,-1.0,6000,6892026
14,unknown,2,2,8400,0,0,0,1,0,1,0,2,0,-1.0,unknown,-1.0,8,5,3,2025-03-01 08:06:12,unknown,1447427,2025-02-12 14:02:25,2,14,2,0,-1.0,0,-1.0,7140,6892026
15,regular,2,2,6000,0,0,0,1,0,0,0,1,0,-1.0,unknown,-1.0,8,5,3,2025-03-01 08:11:09,unknown,8091,2025-03-01 05:56:18,5,5,3,0,-1.0,0,-1.0,6300,6892026
16,new,2,3,650,1,0,0,0,0,0,1,2,0,-1.0,unknown,-1.0,8,5,3,2025-03-01 08:30:14,unknown,2362,2025-03-01 07:50:52,5,7,3,0,-1.0,0,-1.0,1090,6892026
17,unknown,2,416,5250,0,0,0,0,1,0,0,1,0,-1.0,unknown,-1.0,8,5,3,2025-03-01 08:43:07,npotpz.ru,1904367,2025-02-07 07:43:40,4,7,2,0,-1.0,0,-1.0,4352,6892026
18,new,2,591,2400,0,0,0,0,0,1,0,1,0,-1.0,unknown,-1.0,9,5,3,2025-03-01 09:08:11,unknown,667,2025-03-01 08:57:04,5,8,3,0,-1.0,0,-1.0,2990,9222114
19,loyal,2,2,8400,0,0,0,1,0,0,0,1,0,-1.0,unknown,-1.0,9,5,3,2025-03-01 09:26:09,unknown,2593,2025-03-01 08:42:56,5,8,3,0,-1.0,0,-1.0,8100,6892026
20,regular,3,352,6150,0,0,0,1,1,0,0,2,0,-1.0,unknown,-1.0,9,5,3,2025-03-01 09:40:07,npotpz.ru,61201,2025-02-28 16:40:06,4,16,2,0,-1.0,0,-1.0,5750,6892026
21,new,5,5,13890,0,0,0,1,0,1,0,2,0,-1.0,unknown,-1.0,9,5,3,2025-03-01 09:43:07,unknown,4410,2025-03-01 08:29:37,5,8,3,0,-1.0,0,-1.0,10788,6892026
22,new,2,301,6000,0,0,0,1,0,0,0,1,0,-1.0,unknown,-1.0,9,5,3,2025-03-01 09:51:08,npotpz.ru,2062,2025-03-01 09:16:46,5,9,3,0,-1.0,0,-1.0,6000,6892026
23,unknown,2,661,2400,0,0,0,0,0,1,0,1,1,2.0,unknown,-1.0,9,5,3,2025-03-01 09:57:07,unknown,756,2025-03-01 09:44:31,5,9,3,1,517.48,0,-1.0,3060,6892026
24,unknown,2,2,6000,0,0,0,1,0,0,0,1,1,30.0,unknown,-1.0,9,5,3,2025-03-01 09:59:08,unknown,4517,2025-03-01 08:43:51,5,8,3,1,636.28,0,-1.0,6300,6892026
25,regular,2,2,4290,0,0,0,1,0,0,0,1,0,-1.0,unknown,-1.0,10,5,3,2025-03-01 10:02:16,unknown,1486,2025-03-01 09:37:30,5,9,3,0,-1.0,0,-1.0,4281,6892026
26,new,2,321,2400,0,0,0,0,0,1,0,1,0,-1.0,unknown,-1.0,10,5,3,2025-03-01 10:03:10,unknown,1098,2025-03-01 09:44:52,5,9,3,0,-1.0,0,-1.0,2720,6892026
27,new,2,511,5700,0,0,0,1,0,0,0,1,0,-1.0,unknown,-1.0,10,5,3,2025-03-01 10:27:11,npotpz.ru,3424,2025-03-01 09:30:07,5,9,3,0,-1.0,0,-1.0,6210,6892026
28,regular,3,352,7800,0,0,0,1,0,1,0,2,0,-1.0,unknown,-1.0,10,5,3,2025-03-01 10:30:10,unknown,2569,2025-03-01 09:47:21,5,9,3,0,-1.0,0,-1.0,8150,6892026
29,unknown,2,711,6000,0,0,0,1,0,0,0,1,1,30.0,unknown,-1.0,10,5,3,2025-03-01 10:46:07,npotpz.ru,1338,2025-03-01 10:23:49,5,10,3,1,732.76,0,-1.0,6410,6892026
30,unknown,2,369,2400,0,0,0,0,0,1,0,1,0,-1.0,unknown,-1.0,11,5,3,2025-03-01 11:04:07,npotpz.ru,5699,2025-03-01 09:29:08,5,9,3,0,-1.0,0,-1.0,2768,6892026
31,regular,1,1,6000,0,0,0,1,0,0,0,1,0,-1.0,unknown,-1.0,11,5,3,2025-03-01 11:13:11,unknown,1416,2025-03-01 10:49:35,5,10,3,0,-1.0,0,-1.0,6000,6892026
32,new,2,2,2400,0,0,0,0,0,1,0,1,0,-1.0,unknown,-1.0,11,5,3,2025-03-01 11:57:07,unknown,1111,2025-03-01 11:38:36,5,11,3,0,-1.0,0,-1.0,2700,6892026
33,new,2,2,2400,0,0,0,0,0,1,0,1,0,-1.0,unknown,-1.0,12,5,3,2025-03-01 12:19:10,unknown,4350,2025-03-01 11:06:40,5,11,3,0,-1.0,0,-1.0,2930,6892026
34,regular,1,1,24000,0,0,1,0,0,0,0,1,0,-1.0,unknown,-1.0,12,5,3,2025-03-01 12:21:06,npotpz.ru,1060,2025-03-01 12:03:26,5,12,3,0,-1.0,0,-1.0,24000,6892026
35,unknown,2,2,6000,0,0,0,1,0,0,0,1,0,-1.0,unknown,-1.0,12,5,3,2025-03-01 12:49:07,unknown,861,2025-03-01 12:34:46,5,12,3,0,-1.0,0,-1.0,6310,6892026
36,new,2,301,6000,0,0,0,1,0,0,0,1,0,-1.0,unknown,-1.0,12,5,3,2025-03-01 12:50:07,unknown,2355,2025-03-01 12:10:52,5,12,3,0,-1.0,0,-1.0,6000,6892026
37,new,2,311,2400,0,0,0,0,0,1,0,1,0,-1.0,unknown,-1.0,15,5,3,2025-03-01 15:11:07,unknown,3848,2025-03-01 14:06:59,5,14,3,0,-1.0,0,-1.0,2710,6892026
38,unknown,2,2,2400,0,0,0,0,0,1,0,1,0,-1.0,unknown,-1.0,15,5,3,2025-03-01 15:27:10,npotpz.ru,3377,2025-03-01 14:30:53,5,14,3,0,-1.0,0,-1.0,2720,6892026
39,unknown,2,2,6000,0,0,0,1,0,0,0,1,0,-1.0,unknown,-1.0,16,5,3,2025-03-01 16:35:05,unknown,854,2025-03-01 16:20:51,5,16,3,0,-1.0,0,-1.0,6370,6892026
40,unknown,2,301,2401,0,0,0,0,0,1,0,1,0,-1.0,unknown,-1.0,17,5,3,2025-03-01 17:03:04,unknown,368321,2025-02-25 10:44:23,1,10,2,0,-1.0,0,-1.0,2700,6892026
41,regular,3,3,13350,0,0,0,1,0,1,0,2,0,-1.0,unknown,-1.0,17,5,3,2025-03-01 17:20:04,unknown,120563,2025-02-28 07:50:41,4,7,2,0,-1.0,0,-1.0,13350,6892026
42,regular,4,5,52950,0,1,1,1,1,0,0,4,0,-1.0,unknown,-1.0,18,5,3,2025-03-01 18:03:05,npotpz.ru,7111,2025-03-01 16:04:34,5,16,3,0,-1.0,0,-1.0,51015,6892026
43,unknown,2,601,2400,0,0,0,0,0,1,0,1,1,21.0,unknown,-1.0,5,6,3,2025-03-02 05:27:04,unknown,4281,2025-03-02 04:15:43,6,4,3,1,717.04,0,-1.0,3000,6892026
44,new,2,496,5700,0,0,0,1,0,0,0,1,0,-1.0,unknown,-1.0,5,6,3,2025-03-02 05:41:04,unknown,7481,2025-03-02 03:36:23,6,3,3,0,-1.0,0,-1.0,6195,6892026
45,new,2,496,5700,0,0,0,1,0,0,0,1,0,-1.0,unknown,-1.0,5,6,3,2025-03-02 05:46:04,npotpz.ru,13319,2025-03-02 02:04:05,6,2,3,0,-1.0,0,-1.0,6195,6892030
46,new,3,317,6150,0,0,0,1,0,1,0,2,0,-1.0,unknown,-1.0,5,6,3,2025-03-02 05:57:04,npotpz.ru,1544,2025-03-02 05:31:20,6,5,3,0,-1.0,0,-1.0,6465,6892026
47,new,2,701,6000,0,0,0,1,0,0,0,1,0,-1.0,unknown,-1.0,6,6,3,2025-03-02 06:13:06,npotpz.ru,1414,2025-03-02 05:49:32,6,5,3,0,-1.0,0,-1.0,6400,6892026
48,loyal,1,1,87000,0,0,1,0,0,0,0,1,0,-1.0,unknown,-1.0,6,6,3,2025-03-02 06:29:08,unknown,898,2025-03-02 06:14:10,6,6,3,0,-1.0,0,-1.0,35305,6892026
49,new,2,451,6000,0,0,0,1,0,0,0,1,0,-1.0,unknown,-1.0,6,6,3,2025-03-02 06:55:06,unknown,702,2025-03-02 06:43:24,6,6,3,0,-1.0,0,-1.0,6450,6892026
50,new,2,301,2400,0,0,0,0,0,1,0,1,0,-1.0,unknown,-1.0,7,6,3,2025-03-02 07:02:17,npotpz.ru,1189,2025-03-02 06:42:28,6,6,3,0,-1.0,0,-1.0,2700,6892026
51,new,3,642,4050,0,0,0,0,1,1,0,2,0,-1.0,unknown,-1.0,7,6,3,2025-03-02 07:03:10,unknown,2065,2025-03-02 06:28:45,6,6,3,0,-1.0,0,-1.0,4690,6892026
52,new,2,301,6000,0,0,0,1,0,0,0,1,0,-1.0,unknown,-1.0,7,6,3,2025-03-02 07:19:07,npotpz.ru,1136,2025-03-02 07:00:11,6,7,3,0,-1.0,0,-1.0,6000,6892026
53,unknown,2,491,2400,0,0,0,0,0,1,0,1,1,30.0,unknown,-1.0,7,6,3,2025-03-02 07:37:08,unknown,160063,2025-02-28 11:09:25,4,11,2,1,625.56,0,-1.0,2890,6892026
54,unknown,2,562,2400,0,0,0,0,0,1,0,1,1,21.0,unknown,-1.0,7,6,3,2025-03-02 07:40:08,npotpz.ru,1390,2025-03-02 07:16:58,6,7,3,1,854.76,0,-1.0,4640,6892026
55,regular,3,3,11250,0,0,0,1,1,0,0,2,0,-1.0,unknown,-1.0,7,6,3,2025-03-02 07:40:08,unknown,1281,2025-03-02 07:18:47,6,7,3,0,-1.0,0,-1.0,10760,6892026
56,unknown,2,461,2400,0,0,0,0,0,1,0,1,0,-1.0,unknown,-1.0,7,6,3,2025-03-02 07:50:08,unknown,581,2025-03-02 07:40:27,6,7,3,0,-1.0,0,-1.0,2860,6892026
57,unknown,2,486,5700,0,0,0,1,0,0,0,1,1,30.0,unknown,-1.0,7,6,3,2025-03-02 07:52:07,npotpz.ru,1795,2025-03-02 07:22:12,6,7,3,1,734.6,0,-1.0,6185,6892026
58,new,2,371,2400,0,0,0,0,0,1,0,1,0,-1.0,unknown,-1.0,7,6,3,2025-03-02 07:58:06,unknown,1681,2025-03-02 07:30:05,6,7,3,0,-1.0,0,-1.0,2770,6892026
59,unknown,3,552,10291,0,0,0,1,0,0,0,1,0,-1.0,unknown,-1.0,8,6,3,2025-03-02 08:30:10,unknown,519,2025-03-02 08:21:31,6,8,3,0,-1.0,0,-1.0,10540,6892026
60,unknown,2,550,651,0,0,0,0,0,0,1,1,0,-1.0,unknown,-1.0,8,6,3,2025-03-02 08:42:06,unknown,1051,2025-03-02 08:24:35,6,8,3,0,-1.0,0,-1.0,920,6892026
61,new,2,371,6001,0,0,0,1,0,0,0,1,0,-1.0,unknown,-1.0,8,6,3,2025-03-02 08:52:07,unknown,570,2025-03-02 08:42:37,6,8,3,0,-1.0,0,-1.0,6070,6892026
62,unknown,2,621,6001,0,0,0,1,0,0,0,1,1,30.0,unknown,-1.0,9,6,3,2025-03-02 09:15:08,npotpz.ru,2614,2025-03-02 08:31:34,6,8,3,1,649.1,0,-1.0,6320,6892026
63,new,2,2,4920,0,0,0,1,0,0,0,1,0,-1.0,unknown,-1.0,9,6,3,2025-03-02 09:16:10,unknown,697603,2025-02-22 07:29:27,5,7,2,0,-1.0,0,-1.0,6480,6892026
64,unknown,6,6,71200,0,0,0,1,0,1,0,2,1,40.0,unknown,-1.0,9,6,3,2025-03-02 09:22:09,npotpz.ru,4779,2025-03-02 08:02:30,6,8,3,1,3569.52,0,-1.0,53400,6892026
65,regular,2,1392,96001,0,0,0,0,0,0,1,1,0,-1.0,unknown,-1.0,9,6,3,2025-03-02 09:26:07,unknown,1142,2025-03-02 09:07:05,6,9,3,0,-1.0,0,-1.0,97390,6892026
66,unknown,2,381,2401,0,0,0,1,0,0,0,1,1,21.0,unknown,-1.0,9,6,3,2025-03-02 09:52:06,unknown,602,2025-03-02 09:42:04,6,9,3,1,493.09,0,-1.0,2780,6892026
67,unknown,1,2,6000,0,0,0,1,0,0,0,1,1,30.0,unknown,-1.0,9,6,3,2025-03-02 09:57:07,unknown,992,2025-03-02 09:40:35,6,9,3,1,1040.55,0,-1.0,10800,6892026
68,new,2,3,8400,0,0,0,1,0,0,0,1,0,-1.0,unknown,-1.0,10,6,3,2025-03-02 10:06:09,npotpz.ru,1974313,2025-02-07 13:40:56,4,13,2,0,-1.0,0,-1.0,10800,6892026
69,unknown,2,3,18300,0,0,0,1,1,0,0,2,0,-1.0,unknown,-1.0,10,6,3,2025-03-02 10:34:06,npotpz.ru,1914,2025-03-02 10:02:12,6,10,3,0,-1.0,0,-1.0,20250,6892030
70,unknown,2,501,5701,0,0,0,1,0,0,0,1,1,30.0,unknown,-1.0,11,6,3,2025-03-02 11:02:17,npotpz.ru,1653,2025-03-02 10:34:44,6,10,3,1,752.22,0,-1.0,6200,6892026
71,new,3,3,8401,0,0,0,1,0,1,0,2,0,-1.0,unknown,-1.0,11,6,3,2025-03-02 11:13:08,npotpz.ru,108544,2025-03-01 05:04:04,5,5,3,0,-1.0,0,-1.0,8400,6892026
72,new,2,331,6001,0,0,0,1,0,0,0,1,0,-1.0,unknown,-1.0,12,6,3,2025-03-02 12:12:07,npotpz.ru,1389180,2025-02-14 10:19:07,4,10,2,0,-1.0,0,-1.0,6030,6892026
73,new,2,331,2401,0,0,0,0,0,1,0,1,0,-1.0,unknown,-1.0,12,6,3,2025-03-02 12:54:06,unknown,716,2025-03-02 12:42:10,6,12,3,0,-1.0,0,-1.0,2730,6892026
74,regular,3,302,8401,0,0,0,1,0,0,0,1,0,-1.0,unknown,-1.0,13,6,3,2025-03-02 13:24:11,unknown,1088,2025-03-02 13:06:03,6,13,3,0,-1.0,0,-1.0,8700,6892026
75,new,2,2,2401,0,0,0,0,0,1,0,1,0,-1.0,unknown,-1.0,13,6,3,2025-03-02 13:26:10,unknown,1480,2025-03-02 13:01:30,6,13,3,0,-1.0,0,-1.0,2700,6892026
76,unknown,4,4,9601,0,0,0,1,0,0,0,1,1,30.0,unknown,-1.0,13,6,3,2025-03-02 13:27:09,unknown,3277,2025-03-02 12:32:32,6,12,3,1,866.85,0,-1.0,8600,6892026
77,regular,2,3,8701,0,0,0,0,1,0,0,1,0,-1.0,unknown,-1.0,13,6,3,2025-03-02 13:33:07,unknown,5359,2025-03-02 12:03:48,6,12,3,0,-1.0,1,80.0,15700,6892026
78,unknown,2,355,651,1,0,0,0,0,0,1,2,0,-1.0,unknown,-1.0,13,6,3,2025-03-02 13:37:06,unknown,157080,2025-02-28 17:59:06,4,17,2,0,-1.0,1,15.0,2200,6892026
79,new,2,2,6001,0,0,0,1,0,0,0,1,0,-1.0,unknown,-1.0,13,6,3,2025-03-02 13:48:06,npotpz.ru,1133,2025-03-02 13:29:13,6,13,3,0,-1.0,0,-1.0,6040,6892026
80,new,2,501,5501,0,0,0,1,0,0,0,1,0,-1.0,unknown,-1.0,13,6,3,2025-03-02 13:57:06,unknown,469428,2025-02-25 03:33:18,1,3,2,0,-1.0,1,45.0,500,6892026
81,unknown,2,421,6001,0,0,0,1,0,0,0,1,0,-1.0,unknown,-1.0,14,6,3,2025-03-02 14:09:09,unknown,1393,2025-03-02 13:45:56,6,13,3,0,-1.0,0,-1.0,4825,6892026
82,new,2,2,2401,0,0,0,0,0,1,0,1,0,-1.0,unknown,-1.0,14,6,3,2025-03-02 14:14:08,unknown,1137,2025-03-02 13:55:11,6,13,3,0,-1.0,0,-1.0,2730,6892026
83,new,2,451,6001,0,0,0,1,0,0,0,1,0,-1.0,unknown,-1.0,14,6,3,2025-03-02 14:33:05,npotpz.ru,1657,2025-03-02 14:05:28,6,14,3,0,-1.0,0,-1.0,4950,6892026
84,unknown,2,501,5701,0,0,0,1,0,0,0,1,1,30.0,unknown,-1.0,14,6,3,2025-03-02 14:39:06,npotpz.ru,1152,2025-03-02 14:19:54,6,14,3,1,752.22,0,-1.0,6200,6892026
85,regular,2,352,2401,0,0,0,0,0,1,0,1,0,-1.0,unknown,-1.0,14,6,3,2025-03-02 14:43:07,unknown,39669,2025-03-02 03:41:58,6,3,3,0,-1.0,0,-1.0,4430,6892026
86,unknown,3,3,3301,0,0,0,0,1,0,0,1,1,24.0,unknown,-1.0,14,6,3,2025-03-02 14:49:05,unknown,183438,2025-02-28 11:51:47,4,11,2,1,418.36,0,-1.0,2000,6892026
87,new,2,436,2401,0,0,0,0,0,1,0,1,0,-1.0,unknown,-1.0,15,6,3,2025-03-02 15:02:12,unknown,1363,2025-03-02 14:39:29,6,14,3,0,-1.0,0,-1.0,2835,6892026
88,unknown,2,536,6001,0,0,0,1,0,0,0,1,1,30.0,unknown,-1.0,16,6,3,2025-03-02 16:12:04,npotpz.ru,2254,2025-03-02 15:34:30,6,15,3,1,918.09,0,-1.0,9535,6892026
89,new,2,301,6001,0,0,0,1,0,0,0,1,0,-1.0,unknown,-1.0,17,6,3,2025-03-02 17:24:04,zdorov.com,1837,2025-03-02 16:53:27,6,16,3,0,-1.0,0,-1.0,6000,6892026
90,new,2,3,6600,0,0,0,1,0,1,0,2,0,-1.0,unknown,-1.0,4,0,3,2025-03-03 04:45:03,unknown,3219,2025-03-03 03:51:24,0,3,3,0,-1.0,0,-1.0,10800,6892026
91,new,2,331,2401,0,0,0,0,0,1,0,1,0,-1.0,unknown,-1.0,5,0,3,2025-03-03 05:16:06,unknown,691,2025-03-03 05:04:35,0,5,3,0,-1.0,0,-1.0,2730,6892026
92,new,2,691,2401,0,0,0,0,0,1,0,1,0,-1.0,unknown,-1.0,5,0,3,2025-03-03 05:16:06,unknown,706,2025-03-03 05:04:20,0,5,3,0,-1.0,0,-1.0,3090,6892026
93,regular,0,0,0,0,0,0,1,0,0,0,1,0,-1.0,unknown,-1.0,5,0,3,2025-03-03 05:42:06,npotpz.ru,996,2025-03-03 05:25:30,0,5,3,0,-1.0,0,-1.0,6347,6892026
94,regular,2,286,2401,0,0,0,0,0,1,0,1,0,-1.0,unknown,-1.0,5,0,3,2025-03-03 05:51:05,npotpz.ru,1538,2025-03-03 05:25:27,0,5,3,0,-1.0,0,-1.0,2699,6892026
95,new,2,351,2401,0,0,0,0,0,1,0,1,0,-1.0,unknown,-1.0,5,0,3,2025-03-03 05:59:06,npotpz.ru,2021,2025-03-03 05:25:25,0,5,3,0,-1.0,0,-1.0,2768,6892026
96,new,2,301,5701,0,0,0,1,0,0,0,1,0,-1.0,unknown,-1.0,6,0,3,2025-03-03 06:15:08,unknown,366,2025-03-03 06:09:02,0,6,3,0,-1.0,0,-1.0,6000,6892026
97,new,2,286,2401,0,0,0,0,0,1,0,1,0,-1.0,unknown,-1.0,6,0,3,2025-03-03 06:16:10,npotpz.ru,3036,2025-03-03 05:25:34,0,5,3,0,-1.0,0,-1.0,2699,6892026
98,new,3,3,10980,0,0,0,1,0,1,0,2,0,-1.0,unknown,-1.0,6,0,3,2025-03-03 06:16:10,unknown,1519,2025-03-03 05:50:51,0,5,3,0,-1.0,0,-1.0,11000,6892026
99,new,2,2,10650,0,0,0,1,0,0,0,1,0,-1.0,unknown,-1.0,6,0,3,2025-03-03 06:52:07,npotpz.ru,1089,2025-03-03 06:33:58,0,6,3,0,-1.0,0,-1.0,10650,6892026
100,new,2,331,6001,0,0,0,1,0,0,0,1,0,-1.0,unknown,-1.0,6,0,3,2025-03-03 06:55:09,npotpz.ru,5377,2025-03-03 05:25:32,0,5,3,0,-1.0,0,-1.0,6330,6892026
101,unknown,1,1,6000,0,0,0,1,0,0,0,1,0,-1.0,unknown,-1.0,6,0,3,2025-03-03 06:57:09,unknown,2535,2025-03-03 06:14:54,0,6,3,0,-1.0,0,-1.0,5700,6892026
102,new,2,286,2401,0,0,0,0,0,1,0,1,0,-1.0,unknown,-1.0,6,0,3,2025-03-03 06:58:09,unknown,37371,2025-03-02 20:35:18,6,20,3,0,-1.0,0,-1.0,2325,6892026
103,new,2,2,6001,0,0,0,1,0,0,0,1,0,-1.0,unknown,-1.0,7,0,3,2025-03-03 07:03:16,unknown,1274,2025-03-03 06:42:02,0,6,3,0,-1.0,0,-1.0,6055,6892026
104,new,2,516,2401,0,0,0,0,0,1,0,1,0,-1.0,unknown,-1.0,7,0,3,2025-03-03 07:04:13,unknown,8797,2025-03-03 04:37:36,0,4,3,0,-1.0,0,-1.0,2915,6892026
105,unknown,2,661,6001,0,0,0,1,0,0,0,1,1,30.0,unknown,-1.0,7,0,3,2025-03-03 07:21:16,unknown,619,2025-03-03 07:10:57,0,7,3,1,730.72,0,-1.0,6360,6892026
106,new,2,291,2401,0,0,0,0,0,1,0,1,0,-1.0,unknown,-1.0,7,0,3,2025-03-03 07:22:17,unknown,1842,2025-03-03 06:51:35,0,6,3,0,-1.0,0,-1.0,2690,6892026
107,unknown,2,582,6001,0,0,0,1,0,0,0,1,1,30.0,unknown,-1.0,7,0,3,2025-03-03 07:44:12,unknown,1137,2025-03-03 07:25:15,0,7,3,1,755.52,0,-1.0,6281,6892026
108,new,2,2,2401,0,0,0,0,0,1,0,1,0,-1.0,unknown,-1.0,7,0,3,2025-03-03 07:54:13,unknown,1099,2025-03-03 07:35:54,0,7,3,0,-1.0,0,-1.0,2745,6892026
109,new,2,301,2401,0,0,0,0,0,1,0,1,0,-1.0,unknown,-1.0,8,0,3,2025-03-03 08:04:17,unknown,690,2025-03-03 07:52:47,0,7,3,0,-1.0,0,-1.0,2700,6892026
110,new,2,371,2401,0,0,0,0,0,1,0,1,0,-1.0,unknown,-1.0,8,0,3,2025-03-03 08:11:20,unknown,1333,2025-03-03 07:49:07,0,7,3,0,-1.0,0,-1.0,2770,6892026
111,new,3,3,9300,0,0,0,0,1,1,0,2,0,-1.0,unknown,-1.0,8,0,3,2025-03-03 08:14:18,unknown,1851,2025-03-03 07:43:27,0,7,3,0,-1.0,0,-1.0,9300,6892026
112,new,2,341,2401,0,0,0,0,0,1,0,1,0,-1.0,unknown,-1.0,8,0,3,2025-03-03 08:18:16,unknown,1153,2025-03-03 07:59:03,0,7,3,0,-1.0,0,-1.0,2740,6892026
113,regular,2,416,8701,0,0,0,0,1,0,0,1,0,-1.0,unknown,-1.0,8,0,3,2025-03-03 08:26:17,unknown,1494,2025-03-03 08:01:23,0,8,3,0,-1.0,0,-1.0,6940,6892026
114,new,2,711,5501,0,0,0,1,0,0,0,1,0,-1.0,unknown,-1.0,8,0,3,2025-03-03 08:40:15,unknown,1236097,2025-02-17 01:18:38,0,1,2,0,-1.0,0,-1.0,710,6892026
115,unknown,2,2,23700,0,1,0,1,0,0,0,2,0,-1.0,unknown,-1.0,8,0,3,2025-03-03 08:57:13,npotpz.ru,1937,2025-03-03 08:24:56,0,8,3,0,-1.0,0,-1.0,17775,6892026
116,new,2,301,2401,0,0,0,0,0,1,0,1,0,-1.0,unknown,-1.0,9,0,3,2025-03-03 09:01:35,unknown,877,2025-03-03 08:46:58,0,8,3,0,-1.0,0,-1.0,2700,6892026
117,unknown,2,531,2401,0,0,0,0,0,1,0,1,1,21.0,unknown,-1.0,9,0,3,2025-03-03 09:02:32,unknown,1465,2025-03-03 08:38:07,0,8,3,1,688.2,0,-1.0,2930,6892026
118,new,2,306,2401,0,0,0,0,0,1,0,1,0,-1.0,unknown,-1.0,9,0,3,2025-03-03 09:08:16,unknown,6011,2025-03-03 07:28:05,0,7,3,0,-1.0,0,-1.0,2705,6892026
119,new,2,442,6001,0,0,0,1,0,0,0,1,0,-1.0,unknown,-1.0,9,0,3,2025-03-03 09:37:13,unknown,898,2025-03-03 09:22:15,0,9,3,0,-1.0,0,-1.0,6440,6892026
120,new,2,301,2401,0,0,0,0,0,1,0,1,0,-1.0,unknown,-1.0,9,0,3,2025-03-03 09:38:12,unknown,1534,2025-03-03 09:12:38,0,9,3,0,-1.0,0,-1.0,2700,6892026
